orig_symbol	logFC	logCPM	F	PValue	FDR
Fbxo5	-14.29277567958578	9.399889058872466	25131.95388242758	0	0
Tnc	-14.292699094721455	9.400671423230731	25168.21707657177	0	0
Zfp623	-14.292607610647075	9.399219915858987	25097.589535346175	0	0
2810457G06Rik	-14.292489892014684	9.401069406707212	25193.76209355487	0	0
Gm12394	-14.292441017613355	9.401367243029485	25209.181666708315	0	0
1700060O08Rik	-14.292322536229769	9.40005843977103	25139.047469753783	0	0
Gm42997	-14.29225863399288	9.400517143953143	25165.978737137215	0	0
Rsl1	-14.292143215401033	9.399098496478567	25089.120371210767	0	0
Khk	-14.291924969289731	9.399840044633208	25128.697592844597	0	0
Heatr9	-14.291886852954176	9.4014614169858	25212.389269496372	0	0
Dusp23	-14.291874987122414	9.400879375229529	25182.49929127176	0	0
Olfr275	-14.29179860797702	9.401209656893426	25195.268409557873	0	0
Vegfd	-14.291760249720136	9.398744474758658	25069.1320995537	0	0
Zfp558	-14.291459817925334	9.400850662805793	25180.228928660414	0	0
Rxrg	-14.291432456310382	9.40174389433805	25223.90828784239	0	0
Rasgrp4	-14.291331701697514	9.39998098311162	25136.40523188508	0	0
Gm42695	-14.291282615376034	9.400326555673269	25146.730724890032	0	0
Vax2	-14.291257033143498	9.400492791917562	25162.229517817734	0	0
Vasn	-14.290916509335888	9.402388020014746	25259.413867871273	0	0
Vil1	-14.290800579019272	9.40009258233358	25138.628772776745	0	0
Mcrip2	-14.290627965340581	9.399881980618723	25127.718580718363	0	0
Zkscan14	-14.290525860222337	9.4000770763895	25137.989828588157	0	0
Gm16741	-14.290460725728837	9.402031030915834	25238.411147864466	0	0
Cad	-14.290423540215341	9.401288096012282	25202.600228984094	0	0
Deup1	-14.290405103524193	9.401183617171528	25195.48382861301	0	0
Smcr8	-14.290153246184286	9.399066525110763	25082.989532009953	0	0
Noc4l	-14.290151720804923	9.400685783747138	25168.802704832142	0	0
Gm36855	-14.290096798420427	9.399480781031425	25103.60107393125	0	0
4632428C04Rik	-14.28997702120531	9.399278354761627	25096.614740180692	0	0
4933426K07Rik	-14.289970015468437	9.40190808074116	25229.554293067704	0	0
Gm43847	-14.289833371313241	9.401418032445664	25203.91247936482	0	0
Etaa1os	-14.289829775546844	9.399292194625982	25095.86982010561	0	0
Gm11696	-14.289437981473776	9.401964376082738	25233.35741793482	0	0
Pde6h	-14.289349035880162	9.401078198322663	25188.653722829367	0	0
Ribc1	-14.289301457031394	9.400052278960624	25134.223736268912	0	0
Ptprb	-14.289240191413656	9.40235645396012	25252.303496586977	0	0
Scn5a	-14.28921714095299	9.402575577421617	25263.442937881115	0	0
Zfp750	-14.28898848898777	9.399594676796859	25109.883868583373	0	0
Snhg15	-14.288825802312667	9.399364976613676	25096.68348619697	0	0
A630072M18Rik	-14.288735211454593	9.40106821016366	25186.554008444415	0	0
A730011C13Rik	-14.288577674939798	9.400607665772661	25159.51755906741	0	0
Gm4524	-14.288521686476304	9.402559383480858	25260.956645743387	0	0
Zfp418	-14.288465886506904	9.399134815150898	25084.925360161687	0	0
Oacyl	-14.28841364071513	9.400708407917618	25166.707761406768	0	0
Map3k19	-14.288030047013002	9.402595395136224	25261.79752620937	0	0
Gm39526	-14.287970426132674	9.399676479830616	25110.453618229665	0	0
Lrfn3	-14.287962970301535	9.402384869683852	25249.93250086004	0	0
Cryz	-14.287824074096307	9.400230656095669	25140.581793305406	0	0
Ifrd2	-14.287814056132778	9.399793172999065	25118.11276499384	0	0
Rad9a	-14.287694457915679	9.401097550989471	25185.720923554494	0	0
Drd3	-14.28761311864611	9.39992098513796	25122.913483159486	0	0
Slc9a3	-14.287511535251168	9.399787299524048	25117.285451754502	0	0
Mgme1	-14.28739329016987	9.401412482498309	25200.046469271903	0	0
Gm48004	-14.287363567558604	9.399740561721542	25114.350345312894	0	0
Gm17259	-14.287355912615535	9.40053832235102	25157.46089325527	0	0
Prss35	-14.28718064641868	9.404082222976797	25332.956400652107	0	0
Lrrc61	-14.28709365964272	9.401159600761167	25187.00911636509	0	0
Plekhg4	-14.287071995343295	9.400325824644668	25144.923385184265	0	0
Efemp1	-14.286950590208475	9.40155171509499	25205.248887836504	0	0
Pld2	-14.286927789983276	9.402205292088006	25239.130218572078	0	0
Spata17	-14.286870425885395	9.39932212863132	25092.784628515703	0	0
Podn	-14.286840814972402	9.400312160427703	25140.816698017246	0	0
Cep112it	-14.286814239957872	9.400419526473451	25147.932762855562	0	0
